First occurrence at t = 0.000000 with q = 0.752282
Centers of the clusters:
X = -403.030165    	Y = 88.837148      	Z = 168.300399     
X = 134.855241     	Y = -393.620660    	Z = 372.091641     
X = 139.047125     	Y = -371.173524    	Z = -207.034662    
X = 351.563302     	Y = 376.690473     	Z = -59.804990     
X = -162.399140    	Y = 152.060900     	Z = 277.983845     
X = 377.910983     	Y = 6.903763       	Z = -139.047649    
X = 384.041290     	Y = 164.196536     	Z = 354.357368     
X = -23.418578     	Y = 131.288374     	Z = -394.301525    
X = -172.039281    	Y = -135.618378    	Z = 84.193447      
X = 375.922326     	Y = -136.351201    	Z = 132.424074     
X = -200.753252    	Y = -121.143640    	Z = -321.146691    
X = 341.613275     	Y = 170.696026     	Z = 95.417132      
X = -352.731224    	Y = 351.268103     	Z = 358.882530     
X = -365.982446    	Y = 90.954444      	Z = -366.462561    
X = 20.013206      	Y = -140.205963    	Z = 335.402696     
X = -119.090209    	Y = -374.689779    	Z = -77.951394     
X = -355.208870    	Y = 356.329194     	Z = 7.507061       
X = 120.381925     	Y = -138.738531    	Z = -366.853153    
X = 360.065134     	Y = -331.124793    	Z = -390.416955    
X = -68.309319     	Y = -368.126772    	Z = -386.273281    
X = 368.692467     	Y = 17.882201      	Z = -390.288053    
X = -385.271371    	Y = -325.210013    	Z = 329.264082     
X = 108.554198     	Y = -130.367653    	Z = -77.721824     
X = 164.844649     	Y = 181.747177     	Z = -197.098932    
X = 378.552598     	Y = -394.128105    	Z = 308.870959     
X = 150.148094     	Y = -335.571556    	Z = 93.262781      
X = -383.975511    	Y = -357.201141    	Z = -19.104128     
X = 24.977199      	Y = 381.040351     	Z = 42.135705      
X = -364.508404    	Y = -326.644280    	Z = -366.639406    
X = 314.696488     	Y = 405.802369     	Z = 310.007645     
X = -157.288824    	Y = 140.942021     	Z = -103.232829    
X = 11.642076      	Y = 392.726214     	Z = -330.640289    
X = 117.323182     	Y = 152.006196     	Z = 363.705184     
X = 349.844846     	Y = -126.743779    	Z = 391.705750     
X = -127.671691    	Y = -386.848292    	Z = 313.165922     
X = 395.895681     	Y = -338.436988    	Z = -83.142119     
X = -317.737185    	Y = -46.249571     	Z = 393.804939     
X = -22.814785     	Y = 384.172221     	Z = 363.135070     
X = 344.125200     	Y = 344.371996     	Z = -361.184164    
X = -332.340014    	Y = 365.439889     	Z = -326.475958    
X = 82.295628      	Y = 60.014000      	Z = 79.589740      
X = -401.584793    	Y = -44.290630     	Z = -115.108403    
