First occurrence at t = 30.000000 with q = inf
Centers of the clusters:
X = 11008.255377   	Y = -11557.233650  	Z = -9860.523139   
X = -2128.385711   	Y = -5267.660872   	Z = -11999.754995  
X = 9742.160131    	Y = -4035.147721   	Z = -11474.436330  
X = 2786.609650    	Y = -2359.320460   	Z = 4142.727054    
X = 12087.755974   	Y = -2457.786287   	Z = 3728.626331    
X = -5823.278591   	Y = -5344.686735   	Z = 5135.625950    
X = 8772.515418    	Y = 4395.865424    	Z = 3830.991206    
X = -11267.411918  	Y = 1142.476704    	Z = -2829.203423   
X = 11863.680376   	Y = 11526.699540   	Z = -8740.775326   
X = 1287.616084    	Y = 2986.933083    	Z = -2422.947743   
X = 11393.772358   	Y = 1591.126415    	Z = -4371.614316   
X = -72.366518     	Y = 2299.723110    	Z = -11155.618856  
X = -12135.031226  	Y = 1977.482750    	Z = 6451.584885    
X = 11619.951409   	Y = 629.824943     	Z = 11532.836722   
X = 973.206104     	Y = 11795.816384   	Z = -10591.812637  
X = 2921.780709    	Y = 3219.691991    	Z = 10341.136953   
X = 10695.099936   	Y = -10576.898208  	Z = 10428.480029   
X = -10777.905480  	Y = -1225.243757   	Z = -10851.424841  
X = 1656.614647    	Y = -11360.965450  	Z = -10469.732222  
X = -9713.061590   	Y = 10603.074545   	Z = -11423.003354  
X = -4804.774333   	Y = 3362.187073    	Z = 3760.480014    
X = 4919.803489    	Y = -4971.565876   	Z = -4509.353780   
X = 4768.111887    	Y = 11079.490029   	Z = 5270.941484    
X = -5696.668741   	Y = 2281.659320    	Z = 12291.430875   
X = 9314.263876    	Y = 5196.689477    	Z = -11602.861033  
X = 11622.064083   	Y = 10671.062271   	Z = 509.636777     
X = -288.177413    	Y = -11562.796955  	Z = 8163.427886    
X = 10844.210915   	Y = -10907.421120  	Z = 456.762379     
X = -12391.566740  	Y = -8105.461318   	Z = 362.833625     
X = -5192.515623   	Y = -4988.340397   	Z = -4339.317914   
X = 3791.187802    	Y = 10579.534562   	Z = -3288.538839   
X = 1971.148191    	Y = -11748.745898  	Z = -1020.266684   
X = -6081.211467   	Y = 4935.300679    	Z = -7272.896104   
X = -9927.017307   	Y = -4862.396684   	Z = 11746.027619   
X = -10451.639666  	Y = -11593.144370  	Z = 9639.301150    
X = -921.175963    	Y = 11232.294448   	Z = 10858.514853   
X = -10739.064222  	Y = -10966.778711  	Z = -10842.552236  
X = -10703.106028  	Y = 10893.951064   	Z = -2592.070988   
X = -4139.762513   	Y = 11353.976757   	Z = 1900.379890    
X = -6846.023946   	Y = -12300.398075  	Z = -1874.663464   
X = 10546.344831   	Y = 10645.804079   	Z = 11123.411381   
X = 2945.958560    	Y = -6200.568828   	Z = 11726.227002   
X = -10668.004200  	Y = 10751.347917   	Z = 9794.507600    
